,,open,minister,food,china,home,know,chinese,look,restaurant,need,include,play,life,use,government,japan,want,day,way,world,old,country,come,people,like,good,art,time,new,work,firm,cost,global,start,investment,help,design,add,product,technology,financial,service,asia,customer,industry,bank,market,business,company,income,yesterday,earning,share,asset,continue,end,stock,revenue,profit,low,month,group,net,quarter,2013,increase,price,rate,billion,expect,rise,high,growth,march,counter,share price,director,offer,exchange,list,acquire,week,unit,close,trading,purchase,shareholder,average,issue,bitcoin,holding,trade,executive,launch,developer,sq,area,sale,land,site,development,project,property,cma,offshore,information,large,oil,cloud,datum,vessel,wine,value,economic,international,report,psf,private,board,sell,buyer,public,state,plan,member,provide,fund,space,create,local,team,award,event,brand,grow,investor,second,june,2014,fall,policy,inflation,economy,sgx,management,system,corporate,bond,interest,buy,energy,residential,hotel,building,office,construction,set,point,2015,region,build,security,think,thing,city,place,chef,lee,total,reit,keppel,term,budget,support,sector,april,capital,ocbc,dbs,information publish,target price,publish,loan,target,noble,remain,watch,car,big,dollar,currency,east,lim,worker,2011,constituency,wp,national,general,vote,candidate,singaporean,grc,election,pap,party,dish,japanese,room,music,president,american,artist,film,singpost,loss,iran,base,sme,trump,central,centre,trust,2016,course,water,index,note,change,swiber,family,find,presidential,political,payment,job,hong kong,kong,hong,housing,industrial,estate,2017,tax,future,programme,lng,maritime,ago,digital,airline,airport,road,cash,india,foreign,north korea,korea,north,organisation,contract,risk,employee,ceo,corporate governance,governance,solution,number,gst,2018,deal,economist,game,asean,fintech,house,healthcare,news,online,july,measure,acquisition,community,regional,long,diversity,app,retail,grab,fuel,30,innovation,live,brexit,real,2019,analyst,gain,cyber,culture,startup,experience,equity,hyflux,cut,net profit,june 30,result,period,partner
2014Q3,0,,306.3963607638496,,,,,,,,494.5071073215208,318.3532181344851,,,380.2121083854403,417.0000349968487,378.3910137037982,,,,294.11560350123926,,277.0982059521944,254.84778941716922,296.140000607083,,253.10037047256222,,434.6759581429962,583.4591617212509,334.02109216709556,,,,,,,,,,,,416.10365084751385,,394.6087691205446,,,,369.4338472769178,318.8539514782715,,,,,,,,,,,,,,,,,,,,,,,252.18960378009783,,,,,309.497112845778,,,,,,,,,,,,,,,,,,,,261.13900431595806,,,,270.61643000576134,302.0189306562941,,,,,,,,,,,,,,,,,291.6911016134525,,,263.10588705491455,265.86311900600316,281.8162149455799,286.846247012436,294.48089436259596,349.8103935031589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014Q3,1,,,,,,463.67528757524263,,576.1928809927379,,,454.11328821615706,506.7172789655583,,522.2704243929817,,,562.7909359474688,463.4108017309275,458.816488015387,733.2548201858449,425.8692485427426,,726.6016161594299,628.8548878143531,914.2654327127866,799.8923027925182,933.2701623566286,981.9932027689191,1120.332365903742,1201.2597995830204,,,,527.3230008540736,,,670.3407469065055,,,,,,,,,,,784.0055657239982,792.897868130126,,,,,,,,,,,,,440.38922503641237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.7501988093591,439.6100208953188,477.34200416061435,503.80204793460604,524.3485036056228,527.3025983806476,539.2832934875717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014Q3,2,,,,965.4219292915566,,,,,,722.3555895678264,491.7538010262314,,,683.3076741910778,497.7527387054728,,,,,528.5143123633861,,682.5666899740244,533.0125909589678,481.2110507543477,,,,815.9655389505361,996.4712128741617,534.3931558713844,667.9772971138947,,654.4460427169784,,596.7173713090239,,,539.2621615277045,,523.1429958627941,,797.9018523587907,866.3212125295428,,697.4617763929188,,1925.3335667296408,1555.9451630644098,2068.3068055802305,,,,,,,,,,,,,,,,,,,,503.2632472666666,,,596.6003573105944,491.71711243984527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.4308712795306,,,548.4294338564033,,,,,,,,,,,,,,,,,,,,,,,,,526.4790485979543,638.6136622604662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014Q3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710.6943156917235,,,,,,704.0935941103287,,,,,,,,,,,1382.8087433238602,1178.0222028630303,832.430225195211,890.0572961366638,,,790.2573984184405,2277.555964814297,821.4079988121575,,845.4947857887474,,1032.8446264243523,886.310745956945,,921.7172800129222,1348.8186837600276,1111.27944294212,1304.2102592088906,,864.139923663104,1265.3073958498887,,1027.279833115338,856.0868497351156,815.807590397822,1116.9651625786637,903.0825093554816,,,,,,,,,,680.5218257976969,,,,,,,,,,,,,,,786.7246587638938,,,,,938.8855769934848,,,,,,,,,,693.3544825949805,,,,,,,,,,,,,,,,,,,,,,,,704.349780853471,715.7340282666072,740.9026700812594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014Q3,4,,,,,,,,,,,,,,,312.41071627447684,405.3390906840865,,,,,,,,,,352.87333514059384,,347.31793831754476,312.04294380883766,,,,,,,,,,,,,,,,,391.43387708692376,1139.542838841663,,,,,,,,296.58393717805507,,,,,330.96304757191433,478.204891478692,,,,,,932.3232163842031,585.2043211945729,,517.9203672655356,466.7493785555997,443.874911719163,641.00776567772,,,,,,,,,,480.21449496791826,,,,,,,,,,,,327.9857674653401,,,323.6025030333542,,358.82270450890826,291.94974325617744,417.2554807850276,338.9344899396859,,,,,,,,,345.32755345646854,,457.9460219115856,,309.3993258370809,,,,,,,,,,,,,,,,,,,,,,,,309.11182302909674,317.70100709717065,332.3967777651519,645.7339541401439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014Q4,0,,,,645.2382364280791,,,,,,794.5449095463113,519.364346258125,,,,498.8423357072384,,,,,,,719.4499821695639,,537.5299600588215,,670.4325907063861,,738.8286231663691,924.8651282991176,670.4756168705597,572.0485863133289,,551.3649816492613,,,551.0191470193289,,,,578.3961462656686,,741.0256552783395,772.661622072848,523.3828735317123,861.0573066222344,,1194.1260424122934,1971.0484572202672,2476.9468047351097,,,,,,,,,,,,,537.4003920444586,,,,,,,,,,523.6852580494466,,,,,622.7235058803936,,,,,,,,,,,,,,,,,,,,,,,,507.65683444181894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540.8550389735881,,,,,,,,509.6881832379925,526.8324170043569,552.9645771671081,583.5797205383818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014Q4,1,,,,809.4188020211367,,,,,,,,,,,,781.4032962619247,,,,,,,,,,,,823.2534593439449,,,,,905.2926543205709,,676.6408126892545,,,,,,611.1305073441074,,,,,1667.8555957244876,2389.967872210435,,,,,,,,618.0290539578787,,940.5154982068832,,,939.7146121268881,723.4649765389576,,,611.1445888291415,,,1597.7405171045757,1283.6432066275142,983.0758638092336,730.4693996939618,868.3187622885362,826.934978636805,1322.8179137071595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154.6532462283258,,,,,,833.1262819344396,,623.5341569483991,,,,,,,,,,,633.3262890107826,,,,,,,,,759.1409396920567,,,,718.4230556826967,671.8539147429456,,1086.5266130915788,,,,,603.7795952789263,649.3861063770556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014Q4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.6762742913047,,,397.47776294488887,,,456.8466472127102,,,,,,,,,,,,631.661336351477,435.8408854836265,489.0643402732402,,,485.4201271836582,759.2333649975832,,,558.0648468492132,,685.9974172938581,624.7470077437733,568.916135514716,643.2945018339617,620.2913707491955,584.1536104602222,889.621373316072,,467.47877636607564,1352.3395547157668,,448.0748279317641,553.1727798502576,,713.0198643441335,,,,,,,,,,,,440.7029319560031,,,,,,,,,,,,,,557.2640801472944,,,,,551.7904238482711,,,,,554.5863467604173,,,,,408.24588129694536,,,,,,,,,,,,,,,,,,,,,,,,,,549.0761911375905,452.5743980206411,,,,,,,,,,398.3606843129051,420.83875512441296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014Q4,3,,,,,,,,,,,,,,319.6113993325226,,,,,,,,,,,,,,,481.42680265779563,279.13392841490406,,,,,270.13845747681165,,,,,,,,,,,,613.6225799979906,497.75126848669083,340.9731758644398,,,,293.76850063044424,,,273.79496892078646,,,,,,834.0214697425215,,,,,332.4686965316084,,,277.7337750824139,,339.7214053917578,,,,,,,,,,,770.9742477103096,,,,,,,,,,,,314.3980273609408,,345.500550015662,365.0709979479079,399.18435914793145,428.3848828782581,643.7158101114694,792.4041676974769,741.0310402995336,,,,,,,,,277.59396638700423,,,,,,,,300.98659723773534,,,,,,,,263.3370276211758,,,,,,,,,,,,,,,,,,,,,,,,299.5829647019531,319.67086008712255,324.6056358692084,346.613454026504,404.2521605852819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014Q4,4,373.3707948276903,,413.3579185956405,,,366.3204284476956,,421.83008522628455,,,406.56250112750485,378.30367548720204,,466.8443751845414,,,494.31620071474816,407.6508951670323,366.067992416255,454.0969173958738,424.2536429007273,,556.9709730287743,558.8702699377066,743.43365311107,619.354782733709,775.4519928823629,811.5589560072343,815.955685458,736.4212773499861,,,,368.42527378166227,,,449.2480924385971,,,,,,426.7097606980487,,,408.9808610533098,,,,,,,1076.356067666647,,,,,,,,,425.1861210238736,,,,,363.8684470112991,,,,,,,,,,373.55321229430245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.85838509121623,,,,,,,,,,,,,,,,,,,,,,,362.26837495194695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q1,0,,,,631.9827839422911,,,,,,,,,,,,,,,,,,,,,,,,721.6837294757468,,,,,638.4868496080381,,552.6278030976725,,,,,,,,,,,1515.9973388161916,2242.975834335534,,603.0597816552091,,,,,,,,906.4475763083321,,,952.9593992078569,895.830390714716,,,,,562.6525905351307,2115.547069538475,1443.1390449689436,847.8501677946282,968.2916756141769,927.2984504302534,841.4549130929249,1347.7984734851354,,,,,,,,,,,,,,,,,,,538.8890897138216,,,,,,,,,,,,,,,,1142.4747908713916,,,,,,,,670.8529779507604,,,,,,,,,,,,,,,,,,,,626.454345172672,,,634.6534424988498,878.4022491144376,534.7174935205419,,849.3392860694508,,,,,553.7171085070718,614.1022515780821,,,,,,,,,643.1876951062679,653.8233287538692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q1,1,,,,,,,,,,370.8392907490157,302.1484095724047,,,,,,,,,267.458455435695,,,,,,377.34846308961863,,414.1503743685283,740.573154716147,355.7660235323511,,,334.85338914870874,,,305.31906248498115,,249.31945520212744,,,,445.18003379676094,545.5170327830659,253.63342505130723,430.2214514696286,,402.71290526859633,1245.929712490313,875.7064678575267,,,,,,,,,,,,,425.10885134537347,,,,,,,,,,254.04835267261936,240.81456043026355,,,,,291.567421285064,,,,,,,,,,,,,,,,,,,,,,,285.05193565842495,,,,,,,,,,,242.95493586449038,,,327.34399933471957,,,,,,,,,,,247.0535833174013,,,,,,,,,259.46033572536237,,,,,,,,,,312.5825873008566,,,,,,,,,,,,,,,243.49849701055476,244.38304364729694,315.41062409844113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015Q1,2,449.00376530818306,,458.51432670981745,,,404.14490308924115,,459.82774036414827,487.01426734585925,,432.34352265500246,361.9759961723108,352.930129349555,516.5990986599039,,,482.09775403346634,500.42314697981834,449.952856027307,498.58013162700104,,,648.7401845659308,615.871100519664,787.1999403799854,817.9492191427718,718.3437361503796,889.9775500509955,860.8749665593555,1012.9287911370515,,,,359.79942972904365,,,601.98413665234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.92373139623146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.6890202518546,342.70660607306854,348.6750503394083,383.49366475511357,508.1986087894115,723.2508343384038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
